consommation,previsionJ
74310,73500
74423,73550
74535,73600
74777,73750
75020,73900
75309,74350
75597,74800
76054,74750
76510,74700
76504,75250
76498,75800
75192,73700
73886,71600
72882,70600
71879,69600
70981,68900
70083,68200
69273,67250
68464,66300
68118,65800
67773,65300
67405,65150
67037,65000
66846,65050
66654,65100
66847,65500
67040,65900
67926,67000
68811,68100
70380,69850
71950,71600
73230,72850
74511,74100
75467,75050
76424,76000
76514,75950
76604,75900
76270,75400
75935,74900
75129,74100
74322,73300
73746,72700
73170,72100
72488,71350
71806,70600
71064,70050
70323,69500
70357,69900
70391,70300
71270,71300
72150,72300
71819,72100
71488,71900
71311,71350
71133,70400
70373,69650
69613,68900
68591,68150
67568,67400
67619,67700
67670,68000
67569,68000
67469,68000
67351,67500
67233,67000
66445,66200
65657,65400
65241,64950
64826,64500
64383,64000
63941,63500
63946,63500
63951,63500
64184,64050
64417,64600
65491,65500
66566,66400
67460,67400
68355,68400
70232,70250
72109,72100
73557,73650
75004,75200
76535,76450
78067,77700
79157,79100
80247,80500
80663,80650
81079,80800
81377,81000
81675,81200
81889,81400
82102,81600
82060,81400
82017,81200
81825,81150
81634,81100
81452,80900
81271,80700
81186,80750
81100,80800
81325,81100
81550,81400
81484,80950
81419,80500
81291,81000
81164,81500
80338,80150
79513,78800
78871,78050
78229,77300
77550,76600
76872,75900
76044,75200
75216,74500
74971,74300
74727,74100
74369,73750
74010,73400
73892,73400
73773,73400
73878,73700
73982,74000
74621,74600
75259,75200
76780,76750
78302,78300
79396,79650
80490,81000
81472,82000
82453,83000
82055,82300
81656,81600
80684,80500
79712,79400
78462,78200
77211,77000
76177,76100
75142,75200
74135,74200
73127,73200
72315,72650
71503,72100
71554,72450
71606,72800
72323,73750
73041,74700
72581,74400
72122,74100
71986,73400
71849,70400
71300,69850
70750,69300
69703,68400
68656,67500
68994,68050
69331,68600
69155,68650
68979,68700
68804,68000
68629,67300
67830,66650
67032,66000
66707,65600
66383,65200
65864,64650
65344,64100
65386,64250
65427,64400
65565,64750
65703,65100
66758,66050
67812,67000
68749,68200
69685,69400
71331,71100
72977,72800
74446,74300
75916,75800
77509,77250
79102,78700
80055,79850
81008,81000
81442,81250
81876,81500
82087,81600
82298,81700
82456,81900
82613,82100
82510,81850
82406,81600
82122,81400
81839,81200
81660,81000
81482,80800
81370,80650
81258,80500
81337,80650
81416,80800
81240,80300
81064,79800
80837,80400
80610,81000
79787,79550
78964,78100
78212,77450
77459,76800
76820,76400
76180,76000
75490,74950
74801,73900
74452,73500
74103,73100
73773,72600
73443,72100
73365,72100
73288,72100
73372,72500
73456,72900
74262,73950
75068,75000
76548,76500
78028,78000
79146,79000
80264,80000
81132,80900
82000,81800
81655,81200
81309,80600
80404,79600
79500,78600
78354,77550
77209,76500
76282,75350
75355,74200
74486,73400
73617,72600
72723,71800
71829,71000
71810,71050
71790,71100
72546,72000
73301,72900
72676,72450
72050,72000
71917,71500
71785,71000
71294,70300
70803,69600
69607,68650
68410,67700
68808,68200
69206,68700
68963,68650
68720,68600
68525,67900
68331,67200
67521,66500
66711,65800
66272,65350
65833,64900
65419,64500
65005,64100
64868,64000
64730,63900
64908,64400
65086,64900
66207,65850
67327,66800
68134,67650
68940,68500
70304,70150
71668,71800
73094,73200
74520,74600
75758,75700
76997,76800
77998,77900
78998,79000
79584,79400
